City,Body_Type,Ownerno,Company,Model,Modelyear,Variantname,Price,Registration_Year,Insurance_Validity,Fuel_Type,Seats,Kms_Driven,Transmission,Year_Of_Manufacture,Engine,Mileage,Age_Old_In_Year
chennai,SUV,1,Renault,Duster,2016,110PS Diesel,13.38472764187182,2016,Third Party,Diesel,5,150000,Automatic,2016,1461,19.6,8
chennai,Hatchback,1,Hyundai,Grand i10 Nios,2022,Sportz,13.593616226050496,2022,Third Party,Petrol,5,17197,Manual,2022,998,20.7,2
chennai,Sedan,2,Honda,City,2016,i VTEC,13.556739829006911,2016,Comprehensive,Petrol,5,62931,Automatic,2016,1497,18.0,8
chennai,Sedan,2,Toyota,Corolla Altis,2013,G,13.122363377404328,2013,Third Party,Petrol,5,90000,Manual,2013,1798,14.53,11
chennai,SUV,1,Mahindra,XUV300,2021,W8,13.91354429823564,2021,Third Party,Petrol,5,21023,Manual,2021,1197,16.82,3
chennai,Sedan,1,Toyota,Corolla Altis,2018,1.4 DGL,14.214286677921642,2018,Comprehensive,Diesel,5,43000,Manual,2018,1364,21.43,6
chennai,Sedan,1,Maruti,Swift Dzire,2017,AMT,13.348701819615057,2018,Third Party,Diesel,5,110505,Automatic,2017,1248,28.4,6
chennai,Sedan,1,Hyundai,Verna,2018,VTVT 1.6,13.635187003832993,2018,Third Party,Petrol,5,78892,Manual,2018,1591,17.0,6
chennai,Sedan,1,Audi,A6,2015,35 TDI,14.55267414547198,2016,Third Party,Diesel,5,59000,Automatic,2015,1968,18.53,8
chennai,Sedan,1,Chevrolet,Sail,2014,1.2 LS,12.765688433465597,2014,Comprehensive,Petrol,5,90058,Manual,2014,1199,18.2,10
chennai,SUV,1,Audi,Q5,2015,3.0 TDI,14.557447902693651,2015,Third Party,Diesel,5,69000,Automatic,2015,2967,13.22,9
chennai,SUV,1,Honda,WR-V,2019,i-DTEC,13.737549016494562,2019,Comprehensive,Diesel,5,67000,Manual,2019,1498,25.5,5
chennai,Sedan,1,Maruti,Ciaz,2017,Alpha,13.652991628466498,2017,Third Party,Diesel,5,80000,Manual,2017,1248,28.09,7
chennai,Sedan,1,Maruti,Ciaz,2017,Alpha,13.652991628466498,2017,Third Party,Diesel,5,80000,Manual,2017,1248,28.09,7
chennai,SUV,1,Audi,Q7,2020,45 TDI,15.702580206996654,2020,Comprehensive,Diesel,7,57000,Automatic,2020,2967,14.75,4
chennai,MUV,1,Toyota,Innova Crysta,2018,2.4 VX,14.580978400103843,2018,Comprehensive,Diesel,8,800000,Manual,2018,2393,13.68,6
chennai,Sedan,1,Mercedes-Benz,C-Class,2018,C 220,15.096444403426338,2018,Comprehensive,Diesel,5,5500000,Automatic,2018,2143,19.27,6
